trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'e': 0.5699999999999996, 'a': 0.5}",25,10,3.2869113690240455,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'e': 0.5599999999999996, 'a': 0.5}",25,19,4.993475547065407,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'e': 0.5499999999999996, 'a': 0.5}",30,21,8.323782103683994,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'e': 0.5399999999999996, 'a': 0.5}",25,16,8.329784115828591,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'e': 0.5299999999999996, 'a': 0.5}",25,16,13.68791191302724,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'e': 0.5199999999999996, 'a': 0.5}",25,2,-61.64937872341747,"{0: 16, 1: 5, 2: 0, 3: 1, 4: 1}",1
49,False,"{'e': 0.5099999999999996, 'a': 0.5}",25,14,-5.8943818096191,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'e': 0.49999999999999956, 'a': 0.5}",20,0,-37.4504375004295,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
51,False,"{'e': 0.48999999999999955, 'a': 0.5}",20,3,-16.366014590835313,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 0}",1
52,False,"{'e': 0.47999999999999954, 'a': 0.5}",25,0,1.0808409946117346,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
53,False,"{'e': 0.46999999999999953, 'a': 0.5}",25,5,19.03698432575438,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'e': 0.4599999999999995, 'a': 0.5}",20,0,-97.71152915357027,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
55,False,"{'e': 0.4499999999999995, 'a': 0.5}",20,5,-7.541292219969096,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
56,False,"{'e': 0.4399999999999995, 'a': 0.5}",20,11,11.412910281970287,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'e': 0.4299999999999995, 'a': 0.5}",30,7,-22.986848767605185,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
58,False,"{'e': 0.4199999999999995, 'a': 0.5}",25,6,-57.034785226836235,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
59,False,"{'e': 0.4099999999999995, 'a': 0.5}",25,0,-24.465730606641085,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
